DaMatta, Fabio M.; Avila, Rodrigo T.; Cardoso, Amanda A.; Martins, Samuel C. V.; Ramalho, Jose C.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lin Zhong-Da; Fu Yuan-Hai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blok, Daan; Faucherre, Samuel; Banyasz, Imre; Rinnan, Riikka; Michelsen, Anders; Elberling, Bo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geng, Tao; Yang, Yun; Wu, Lixin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lenton, Andrew; Matear, Richard J.; Keller, David P.; Scott, Vivian; Vaughan, Naomi E.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zhang, Jie; Chen, Haishan; Zhang, Qiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tang, Longlong; Higa, Motoki; Tanaka, Nobuyuki; Itsubo, Norihiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kuo, Jui-Lin; Lattanzi, Massimiliano; Cheung, Kingman; Valle, Jose W. F.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aprea, C.; Greco, A.; Maiorino, A.; Masselli, C.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asplund, Johan; Siegenthaler, Andy; Gauslaa, Yngvar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kersting, Diego K.; Cebrian, Emma; Casado, Clara; Teixido, Nuria; Garrabou, Joaquim; Linares, Cristina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Su, Jiayi; Duan, Anmin; Xu, Haiming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reyes-Fox, Melissa; Steltzer, Heidi; LeCain, Daniel R.; McMaster, Gregory S.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Krokos, George; Papadopoulos, Vassilis P.; Sofianos, Sarantis S.; Ombao, Hernando; Dybczak, Patryk; Hoteit, Ibrahim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O'Reilly, Catherine M.; Sharma, Sapna; Gray, Derek K.; Hampton, Stephanie E.; Read, Jordan S.; Rowley, Rex J.; Schneider, Philipp; Lenters, John D.; McIntyre, Peter B.; Kraemer, Benjamin M.; Weyhenmeyer, Gesa A.; Straile, Dietmar; Dong, Bo; Adrian, Rita; Allan, Mathew G.; Anneville, Orlane; Arvola, Lauri; Austin, Jay; Bailey, John L.; Baron, Jill S.; Brookes, Justin D.; de Eyto, Elvira; Dokulil, Martin T.; Hamilton, David P.; Havens, Karl; Hetherington, Amy L.; Higgins, Scott N.; Hook, Simon; Izmest'eva, Lyubov R.; Joehnk, Klaus D.; Kangur, Kulli; Kasprzak, Peter; Kumagai, Michio; Kuusisto, Esko; Leshkevich, George; Livingstone, David M.; MacIntyre, Sally; May, Linda; Melack, John M.; Mueller-Navarra, Doerthe C.; Naumenko, Mikhail; Noges, Peeter; Noges, Tiina; North, Ryan P.; Plisnier, Pierre-Denis; Rigosi, Anna; Rimmer, Alon; Rogora, Michela; Rudstam, Lars G.; Rusak, James A.; Salmaso, Nico; Samal, Nihar R.; Schindler, Daniel E.; Schladow, S. Geoffrey; Schmid, Martin; Schmidt, Silke R.; Silow, Eugene; Soylu, M. Evren; Teubner, Katrin; Verburg, Piet; Voutilainen, Ari; Watkinson, Andrew; Williamson, Craig E.; Zhang, Guoqing
Oh, Mihn-Soo; Kil, Sang-Cheol; Cho, Jin-Dong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McCusker, K. E.; Battisti, D. S.; Bitz, C. M.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guo, Xue; Zhou, Xishu; Hale, Lauren; Yuan, Mengting; Ning, Daliang; Feng, Jiajie; Shi, Zhou; Li, Zhenxin; Feng, Bin; Gao, Qun; Wu, Linwei; Shi, Welling; Zhou, Aifen; Fu, Ying; Wu, Liyou; He, Zhili; Van Nostrand, Joy D.; Qiu, Guanzhou; Liu, Xueduan; Luo, Yiqi; Tiedje, James M.; Yang, Yunfeng; Zhou, Jizhong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glikson, Andrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moghaddam, Elham Ahmadi; Ahlgren, Serina; Hulteberg, Christian; Nordberg, Ake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ariyama, Tatsuro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zhong, Cui-Xiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piecuch, Christopher G.; Quinn, Katherine J.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfils, Celine; Anderson, Gemma; Santer, Benjamin D.; Phillips, Thomas J.; Taylor, Karl E.; Cuntz, Matthias; Zelinka, Mark D.; Marvel, Kate; Cook, Benjamin I.; Cvijanovic, Ivana; Durack, Paul J.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dang, H.; Unger, N.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chen, Yan; Dong, Shuanglin; Wang, Fang; Gao, Qinfeng; Tian, Xiangli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eliasson, Kjartan; Ulfarsson, Gudmundur F.; Valsson, Trausti; Gardarsson, Sigurdur M.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santos Pereira, Marcos Paulo; Costa, Marcos Heil; Justino, Flavio; Mendes Malhado, Ana Claudia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Timm, Oliver Elison;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trivej, Panu; Kesjinda, Kamphol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chen, Lin; Li, Tim; Yu, Yongqiang; Behera, Swadhin K.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xi, Xinqiang; Li, Dongbo; Peng, Youhong; Eisenhauer, Nico; Sun, Shucun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hinners, Jana; Hense, Inga; Kremp, Anke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bareiss, Kay; de la Rua, Cristina; Moeckl, Maximilian; Hamacher, Thomas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tan, Qiqi; Li, Jiazhu; Chen, Zixun; Ma, Ying; Wang, Guoan; Jia, Yufu; Yao, Hongyan; Han, Wenxuan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferreira-Rodriguez, Noe; Fandino, Laura; Pedreira, Adrian; Pardo, Isabel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yuan, Yao; Xu, Ye-Shuang; Arulrajah, Arul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zhang, Lei; Han, Weiqing; Sienz, Frank;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shin, Yechul; Kang, Sarah M.; Watanabe, Masahiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luo, Yong; Chen, Han Y. H.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huang, Mengtian; Piao, Shilong; Ciais, Philippe; Penuelas, Josep; Wang, Xuhui; Keenan, Trevor F.; Peng, Shushi; Berry, Joseph A.; Wang, Kai; Mao, Jiafu; Alkama, Ramdane; Cescatti, Alessandro; Cuntz, Matthias; De Deurwaerder, Hannes; Gao, Mengdi; He, Yue; Liu, Yongwen; Luo, Yiqi; Myneni, Ranga B.; Niu, Shuli; Shi, Xiaoying; Yuan, Wenping; Verbeeck, Hans; Wang, Tao; Wu, Jin; Janssens, Ivan A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toyoda, M.; Yoshino, J.; Kobayashi, T.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wallington, T. J.; Andersen, M. P. Sulbaek; Nielsen, O. J.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
de Richter, Renaud K.; Ming, Tingzhen; Caillol, Sylvain; Liu, Wei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tan, Qiqi; Li, Jiazhu; Chen, Zixun; Wang, Guoan; Jia, Yufu; Yao, Hongyan; Han, Wenxuan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yildiz, Cennet; Ozilgen, Mustafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Subedi, Suresh Chandra; Bhattarai, Khem Raj; Chauudhary, Ram Prasad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sobral-Souza, Thadeu; Francini, Ronaldo Bastos; Lima-Ribeiro, Matheus Souza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominguez, D.; Marin-Armijos, D.; Ruiz, C.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jones, Glenn A.; Warner, Kevin J.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lin, Shis-Ping;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leclercq-Dransart, J.; Pernin, C.; Demuynck, S.; Grumiaux, F.; Lemiere, S.; Lepretre, A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basu, R.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrews, Timothy; Gregory, Jonathan M.; Webb, Mark J.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dong, Xiuwen Sue; West, Gavin H.; Holloway-Beth, Alfreda; Wang, Xuanwen; Sokas, Rosemary K.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ge, Fei; Zhu, Shoupeng; Peng, Ting; Zhao, Yong; Sielmann, Frank; Fraedrich, Klaus; Zhi, Xiefei; Liu, Xiaoran; Tang, Weiwei; Ji, Luying;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Danladi, Iliya Bauchi; Kore, Basiru Mohammed; Gul, Murat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McWhirter, Bryana D.; Henry, Hugh A. L.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yao, Shuai-Lei; Luo, Jing-Jia; Huang, Gang; Wang, Pengfei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roncal-Jimenez, Carlos A.; Garcia-Trabanino, Ramon; Wesseling, Catharina; Johnson, Richard J.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sulman, Benjamin N.; Moore, Jessica A. M.; Abramoff, Rose; Averill, Colin; Kivlin, Stephanie; Georgiou, Katerina; Sridhar, Bhavya; Hartman, Melannie D.; Wang, Gangsheng; Wieder, William R.; Bradford, Mark A.; Luo, Yiqi; Mayes, Melanie A.; Morrison, Eric; Riley, William J.; Salazar, Alejandro; Schimel, Joshua P.; Tang, Jinyun; Classen, Aimee T.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santamouris, M.; Cartalis, C.; Synnefa, A.; Kolokotsa, D.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bui, Hien X.; Maloney, Eric D.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wills, Robert C.; Levine, Xavier J.; Schneider, Tapio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zhao, Yan; Damgaard, Anders; Xu, Yingjie; Liu, Shan; Christensen, Thomas H.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drijfhout, Sybren; Bathiany, Sebastian; Beaulieu, Claudie; Brovkin, Victor; Claussen, Martin; Huntingford, Chris; Scheffer, Marten; Sgubin, Giovanni; Swingedouw, Didier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shakun, Jeremy D.; Clark, Peter U.; He, Feng; Lifton, Nathaniel A.; Liu, Zhengyu; Otto-Bliesner, Bette L.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shen, Lixing; Zhao, Chuanfeng; Ma, Zhanshan; Li, Zhanqing; Li, Jianping; Wang, Kaicun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kim, Jun-Seong; Kim, Do-Yeop; Kim, You-Taek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liu, Zhihua; Ballantyne, Ashley P.; Cooper, L. Annie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ivanov, I. G.; Hartmann, D.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weidema, Bo P.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kotlyakov, V. M.; Glazovsky, A. F.; Moskalevsky, M. Yu.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MacDonald, Ian J.; Mohan, Satish B.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yu, Wanjun; Wang, Wenhuan; Yu, Kefu; Wang, Yinghui; Huang, Xueyong; Huang, Rongyong; Liao, Zhiheng; Xu, Shendong; Chen, Xiaoyan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
van de Velde, Sebastiaan; Mills, Benjamin J. W.; Meysman, Filip J. R.; Lenton, Timothy M.; Poulton, Simon W.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malavenda, Svetlana; Makarov, Mikhail; Ryzhik, Inna; Mityaev, Maxim; Malavenda, Sergey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jiang, Yueyang; Rocha, Adrian V.; Rastetter, Edward B.; Shaver, Gaius R.; Mishra, Umakant; Zhuang, Qianlai; Kwiatkowski, Bonnie L.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortems-Cheiney, A.; Foret, G.; Siour, G.; Vautard, R.; Szopa, S.; Dufour, G.; Colette, A.; Lacressonniere, G.; Beekmann, M.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tranquille, C. A.; Walker, V. A.; Hodgins, D.; McEwen, J.; Roberts, C.; Harris, P.; Cnockaert, R.; Guire, R.; Murray, R. C.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veresoglou, Stavros D.; Halley, John M.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schleussner, Carl-Friedrich; Deryng, Delphine; Mueller, Christoph; Elliott, Joshua; Saeed, Fahad; Folberth, Christian; Liu, Wenfeng; Wang, Xuhui; Pugh, Thomas A. M.; Thiery, Wim; Seneviratne, Sonia I.; Rogelj, Joeri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ruebsam, Wolfgang; Mayer, Bernhard; Schwark, Lorenz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcikowska, Monika J.; Knutson, Thomas R.; Zhang, Rong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zhang, Qiufang; Zhou, Jiacong; Li, Xiaojie; Yang, Zhijie; Zheng, Yong; Wang, Jian; Lin, Weisheng; Xie, Jinsheng; Chen, Yuehmin; Yang, Yusheng;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jamieson, Mary A.; Schwartzberg, Ezra G.; Raffa, Kenneth F.; Reich, Peter B.; Lindroth, Richard L.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neukom, Raphael; Steiger, Nathan; Jose Gomez-Navarro, Juan; Wang, Jianghao; Werner, Johannes P.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Previdi, Michael; Polvani, Lorenzo M.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berg, Alexis; Sheffield, Justin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jia, Jujie; Dai, Zhicong; Li, Feng; Liu, Yanjie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chen, Xiaoguang; Chen, Shuai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diop, Bassirou; Sanz, Nicolas; Junior Duplan, Yves Jamont; Guene, El Hadji Mama; Blanchard, Fabian; Pereau, Jean-Christophe; Doyen, Luc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hua, Shan; Liu, Yuzhi; Jia, Rui; Chang, Shuting; Wu, Chuqiao; Zhu, Qingzhe; Shao, Tianbin; Wang, Bing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moebius, Iris; Friedrich, Oliver; Edgar, Kirsty M.; Sexton, Philip F.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dieng, Habib B.; Palanisamy, Hindumathi; Cazenave, Anny; Meyssignac, Benoit; von Schuckmann, Karina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Randers, Jorgen; Goluke, Ulrich; Wenstop, Fred; Wenstop, Soren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wen, Youyue; Liu, Xiaoping; Pei, Fengsong; Li, Xia; Du, Guoming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valente, Antonio; Iribarren, Diego; Dufour, Javier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wang Tao; Miao Jia-Peng; Sun Jian-Qi; Fu Yuan-Hai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rossiello, Michael R.; Szema, Anthony;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kusunoki, Shoji;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Treseder, Kathleen K.; Marusenko, Yevgeniy; Romero-Olivares, Adriana L.; Maltz, Mia R.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mykleby, P. M.; Snyder, P. K.; Twine, T. E.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Li, Yan; Zhao, Maosheng; Motesharrei, Safa; Mu, Qiaozhen; Kalnay, Eugenia; Li, Shuangcheng;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosenblum, Erica; Eisenman, Ian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quan, Quan; Tian, Dashuan; Luo, Yiqi; Zhang, Fangyue; Crowthers, Tom W.; Zhu, Kai; Chen, Han Y. H.; Zhou, Qingping; Niu, Shuli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oluwole, O. S. A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
